Name,Year,Rating,Date,username
Attack on Titan: THE LAST ATTACK,2024.0,1.0,2025-02-14,aaronmbtw
Anora,2024.0,0.6666666666666666,2025-02-21,aaronmbtw
Parasite,2019.0,0.8888888888888888,2025-02-22,aaronmbtw
The Grand Budapest Hotel,2014.0,0.7777777777777778,2025-03-17,aaronmbtw
La La Land,2016.0,1.0,2025-05-09,aaronmbtw
Funny Games,1997.0,0.1111111111111111,2025-08-04,aaronmbtw
Weapons,2025.0,0.4444444444444444,2025-08-25,aaronmbtw
Chainsaw Man – The Movie: Reze Arc,2025.0,0.5555555555555556,2025-12-11,aaronmbtw
Wicked,2024.0,0.7777777777777778,2025-12-11,aaronmbtw
Wicked: For Good,2025.0,0.5555555555555556,2025-12-11,aaronmbtw
Wish,2023.0,0.2222222222222222,2025-12-17,aaronmbtw
G.I. Jane,1997.0,0.5555555555555556,2026-01-03,aaronmbtw
Zootopia 2,2025.0,0.6666666666666666,2026-01-03,aaronmbtw
Everything Everywhere All at Once,2022.0,1.0,2026-01-18,aaronmbtw
Sentimental Value,2025.0,0.6666666666666666,2026-01-20,aaronmbtw
Neon Genesis Evangelion: The End of Evangelion,1997.0,0.5555555555555556,2026-01-20,aaronmbtw
Materialists,2025.0,0.6666666666666666,2026-01-23,aaronmbtw
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025.0,0.5555555555555556,2026-01-27,aaronmbtw
Her,2013.0,0.7777777777777778,2026-01-28,aaronmbtw
Bugonia,2025.0,0.7777777777777778,2026-01-28,aaronmbtw
Women on the Verge of a Nervous Breakdown,1988.0,0.8888888888888888,2026-01-28,aaronmbtw
Hamnet,2025.0,0.7777777777777778,2026-02-26,aaronmbtw
Death Note,2006.0,1.0,2026-03-26,aaronmbtw
Your Name.,2016.0,0.7777777777777778,2026-03-26,aaronmbtw
Project Hail Mary,2026.0,0.6666666666666666,2026-03-30,aaronmbtw
The Super Mario Galaxy Movie,2026.0,0.2222222222222222,2026-04-09,aaronmbtw
All Quiet on the Western Front,2022.0,0.5555555555555556,2024-03-12,alexja
Alice in Wonderland,2010.0,0.3333333333333333,2024-03-12,alexja
He's Just Not That Into You,2009.0,0.6666666666666666,2024-03-12,alexja
The Cabinet of Dr. Caligari,1920.0,0.4444444444444444,2024-03-12,alexja
Pretty Woman,1990.0,0.1111111111111111,2024-03-12,alexja
The Father,2020.0,0.6666666666666666,2024-03-12,alexja
The Forever Purge,2021.0,0.3333333333333333,2024-03-12,alexja
Spiral: From the Book of Saw,2021.0,0.4444444444444444,2024-03-12,alexja
Antebellum,2020.0,0.4444444444444444,2024-03-12,alexja
The Worst Person in the World,2021.0,0.5555555555555556,2024-03-12,alexja
The Nun II,2023.0,0.3333333333333333,2024-03-12,alexja
Body Bags,1993.0,0.4444444444444444,2024-03-12,alexja
Jonah Hex,2010.0,0.4444444444444444,2024-03-12,alexja
Up,2009.0,0.4444444444444444,2024-03-12,alexja
Jamon Jamon,1992.0,0.4444444444444444,2024-03-12,alexja
Jurassic Park,1993.0,0.5555555555555556,2024-03-12,alexja
Ghost Rider: Spirit of Vengeance,2011.0,0.2222222222222222,2024-03-12,alexja
Silver Linings Playbook,2012.0,0.4444444444444444,2024-03-12,alexja
Boyhood,2014.0,0.5555555555555556,2024-03-12,alexja
The Invisible Man,2020.0,0.5555555555555556,2024-03-12,alexja
The Queen of Black Magic,2019.0,0.5555555555555556,2024-03-12,alexja
And the Birds Rained Down,2019.0,0.4444444444444444,2024-03-12,alexja
Minari,2020.0,0.4444444444444444,2024-03-12,alexja
Thor: Love and Thunder,2022.0,0.4444444444444444,2024-03-12,alexja
Halloween Ends,2022.0,0.1111111111111111,2024-03-12,alexja
Roh,2019.0,0.5555555555555556,2024-03-12,alexja
Talk to Me,2022.0,0.4444444444444444,2024-03-12,alexja
Forrest Gump,1994.0,0.5555555555555556,2024-03-12,alexja
Blue Valentine,2010.0,0.8888888888888888,2024-03-12,alexja
The Scent of Green Papaya,1993.0,0.2222222222222222,2024-03-12,alexja
The Hangover,2009.0,0.4444444444444444,2024-03-12,alexja
Drag Me to Hell,2009.0,0.4444444444444444,2024-03-12,alexja
Dragonball Evolution,2009.0,0.2222222222222222,2024-03-12,alexja
Chungking Express,1994.0,0.4444444444444444,2024-03-12,alexja
Casper,1995.0,0.4444444444444444,2024-03-12,alexja
Reality Bites,1994.0,0.3333333333333333,2024-03-12,alexja
The Bridges of Madison County,1995.0,1.0,2024-03-12,alexja
The Shawshank Redemption,1994.0,0.5555555555555556,2024-03-12,alexja
Her Blue Sky,2019.0,0.1111111111111111,2024-03-12,alexja
Old,2021.0,0.4444444444444444,2024-03-12,alexja
Spider-Man: No Way Home,2021.0,0.6666666666666666,2024-03-12,alexja
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020.0,0.5555555555555556,2024-03-12,alexja
Ant-Man and the Wasp: Quantumania,2023.0,0.5555555555555556,2024-03-12,alexja
Nope,2022.0,0.1111111111111111,2024-03-12,alexja
Green Lantern,2011.0,0.2222222222222222,2024-03-12,alexja
The Garden of Sinners: Remaining Sense of Pain,2008.0,0.4444444444444444,2024-03-12,alexja
The Garden of Sinners: Murder Speculation Part A,2007.0,0.4444444444444444,2024-03-12,alexja
The Garden of Sinners: Overlooking View,2007.0,0.4444444444444444,2024-03-12,alexja
Orphan,2009.0,0.4444444444444444,2024-03-12,alexja
Zombieland,2009.0,0.4444444444444444,2024-03-12,alexja
Tromeo & Juliet,1996.0,0.5555555555555556,2024-03-12,alexja
Let the Right One In,2008.0,0.5555555555555556,2024-03-12,alexja
101 Dalmatians,1996.0,0.3333333333333333,2024-03-12,alexja
James and the Giant Peach,1996.0,0.4444444444444444,2024-03-12,alexja
Beautiful Girls,1996.0,0.6666666666666666,2024-03-12,alexja
Crash,1996.0,0.3333333333333333,2024-03-12,alexja
Toy Story,1995.0,0.5555555555555556,2024-03-12,alexja
Se7en,1995.0,0.5555555555555556,2024-03-12,alexja
Fargo,1996.0,0.4444444444444444,2024-03-12,alexja
Feels Good Man,2020.0,0.5555555555555556,2024-03-12,alexja
Cadaver,2020.0,0.3333333333333333,2024-03-12,alexja
Falcon Lake,2022.0,0.5555555555555556,2024-03-12,alexja
A Nightmare on Elm Street,2010.0,0.5555555555555556,2024-03-12,alexja
Children of Heaven,1997.0,0.5555555555555556,2024-03-12,alexja
The Odyssey,1997.0,0.4444444444444444,2024-03-12,alexja
The Chaser,2008.0,0.7777777777777778,2024-03-12,alexja
Flubber,1997.0,0.2222222222222222,2024-03-12,alexja
Anastasia,1997.0,0.3333333333333333,2024-03-12,alexja
Thesis,1996.0,0.5555555555555556,2024-03-12,alexja
Scream,1996.0,0.5555555555555556,2024-03-12,alexja
Space Jam,1996.0,0.5555555555555556,2024-03-12,alexja
In the Mood for Love,2000.0,0.5555555555555556,2024-03-12,alexja
Face/Off,1997.0,0.5555555555555556,2024-03-12,alexja
Life Is Beautiful,1997.0,0.4444444444444444,2024-03-12,alexja
The Big Lebowski,1998.0,0.5555555555555556,2024-03-12,alexja
10 Cloverfield Lane,2016.0,0.5555555555555556,2024-03-12,alexja
Texas Chainsaw Massacre,2022.0,0.1111111111111111,2024-03-12,alexja
The Creator,2023.0,0.3333333333333333,2024-03-12,alexja
Prey,2022.0,0.4444444444444444,2024-03-12,alexja
The Fallout,2021.0,0.3333333333333333,2024-03-12,alexja
The Truman Show,1998.0,0.5555555555555556,2024-03-12,alexja
X-Men,2000.0,0.4444444444444444,2024-03-12,alexja
Quest for Camelot,1998.0,0.3333333333333333,2024-03-12,alexja
The Prince of Egypt,1998.0,0.2222222222222222,2024-03-12,alexja
Lolita,1997.0,0.2222222222222222,2024-03-12,alexja
Fantastic Four,2005.0,0.4444444444444444,2024-03-12,alexja
Chicken Run,2000.0,0.5555555555555556,2024-03-12,alexja
Scream 2,1997.0,0.4444444444444444,2024-03-12,alexja
The Game,1997.0,0.5555555555555556,2024-03-12,alexja
Resident Evil,2002.0,0.4444444444444444,2024-03-12,alexja
Toy Story 2,1999.0,0.5555555555555556,2024-03-12,alexja
Men in Black,1997.0,0.5555555555555556,2024-03-12,alexja
Good Will Hunting,1997.0,0.6666666666666666,2024-03-12,alexja
Princess Mononoke,1997.0,0.5555555555555556,2024-03-12,alexja
American History X,1998.0,0.5555555555555556,2024-03-12,alexja
X-Men: First Class,2011.0,0.4444444444444444,2024-03-12,alexja
The Housemaid,2010.0,0.5555555555555556,2024-03-12,alexja
Ghostbusters,2016.0,0.3333333333333333,2024-03-12,alexja
RED,2010.0,0.3333333333333333,2024-03-12,alexja
Cell 211,2009.0,0.5555555555555556,2024-03-12,alexja
Kick-Ass,2010.0,0.4444444444444444,2024-03-12,alexja
The Garden of Sinners: The Hollow Shrine,2008.0,0.4444444444444444,2024-03-12,alexja
The Cabin in the Woods,2011.0,0.5555555555555556,2024-03-12,alexja
The Twilight Saga: New Moon,2009.0,0.2222222222222222,2024-03-12,alexja
Coming Soon,2008.0,0.5555555555555556,2024-03-12,alexja
Iron Man 2,2010.0,0.3333333333333333,2024-03-12,alexja
Shrek,2001.0,0.5555555555555556,2024-03-12,alexja
Cube,1997.0,0.5555555555555556,2024-03-12,alexja
Iron Man 3,2013.0,0.4444444444444444,2024-03-12,alexja
Evil Dead,2013.0,0.2222222222222222,2024-03-12,alexja
Venom,2018.0,0.4444444444444444,2024-03-12,alexja
The Strangers: Prey at Night,2018.0,0.4444444444444444,2024-03-12,alexja
The Irishman,2019.0,0.5555555555555556,2024-03-12,alexja
Decision to Leave,2022.0,0.5555555555555556,2024-03-12,alexja
Host,2020.0,0.5555555555555556,2024-03-12,alexja
Gulliver's Travels,2010.0,0.4444444444444444,2024-03-12,alexja
Inception,2010.0,0.4444444444444444,2024-03-12,alexja
The Rugrats Movie,1998.0,0.4444444444444444,2024-03-12,alexja
The Matrix,1999.0,0.4444444444444444,2024-03-12,alexja
Fight Club,1999.0,0.5555555555555556,2024-03-12,alexja
If I Stay,2014.0,0.3333333333333333,2024-03-12,alexja
Suicide Squad,2016.0,0.3333333333333333,2024-03-12,alexja
In the Heights,2021.0,0.1111111111111111,2024-03-12,alexja
Insidious: The Red Door,2023.0,0.4444444444444444,2024-03-12,alexja
The Pope's Exorcist,2023.0,0.4444444444444444,2024-03-12,alexja
Belle,2021.0,0.5555555555555556,2024-03-12,alexja
The Sadness,2021.0,0.4444444444444444,2024-03-12,alexja
Nitram,2021.0,0.4444444444444444,2024-03-12,alexja
Beau Is Afraid,2023.0,0.5555555555555556,2024-03-12,alexja
God's Crooked Lines,2022.0,0.5555555555555556,2024-03-12,alexja
Symbol,2009.0,0.2222222222222222,2024-03-12,alexja
The Human Centipede (First Sequence),2009.0,0.3333333333333333,2024-03-12,alexja
Spider-Man,2002.0,0.5555555555555556,2024-03-12,alexja
The Hunger Games,2012.0,0.4444444444444444,2024-03-12,alexja
The Wolverine,2013.0,0.2222222222222222,2024-03-12,alexja
Mad Max: Fury Road,2015.0,0.4444444444444444,2024-03-12,alexja
Under the Skin,2013.0,0.3333333333333333,2024-03-12,alexja
Aquaman,2018.0,0.5555555555555556,2024-03-12,alexja
Uncharted,2022.0,0.5555555555555556,2024-03-12,alexja
It,2017.0,0.3333333333333333,2024-03-12,alexja
Poor Things,2023.0,0.5555555555555556,2024-03-12,alexja
Cocaine Bear,2023.0,0.3333333333333333,2024-03-12,alexja
Thanksgiving,2023.0,0.4444444444444444,2024-03-12,alexja
Melancholia,2011.0,0.4444444444444444,2024-03-12,alexja
Zindagi Na Milegi Dobara,2011.0,0.4444444444444444,2024-03-12,alexja
The Secret World of Arrietty,2010.0,0.4444444444444444,2024-03-12,alexja
The Man from Nowhere,2010.0,0.4444444444444444,2024-03-12,alexja
The Housemaid,1960.0,0.3333333333333333,2024-03-12,alexja
Paranormal Activity 2,2010.0,0.1111111111111111,2024-03-12,alexja
Grabbers,2012.0,0.4444444444444444,2024-03-12,alexja
Fantastic Four,2015.0,0.1111111111111111,2024-03-12,alexja
A Star Is Born,2018.0,0.4444444444444444,2024-03-12,alexja
Barbie,2023.0,0.5555555555555556,2024-03-12,alexja
Halloween,2018.0,0.5555555555555556,2024-03-12,alexja
Knock at the Cabin,2023.0,0.4444444444444444,2024-03-12,alexja
Mad God,2021.0,0.3333333333333333,2024-03-12,alexja
20th Century Girl,2022.0,0.5555555555555556,2024-03-12,alexja
Oppenheimer,2023.0,0.5555555555555556,2024-03-12,alexja
Midnight in Paris,2011.0,0.3333333333333333,2024-03-12,alexja
Confessions,2010.0,0.3333333333333333,2024-03-12,alexja
After Life,1998.0,0.4444444444444444,2024-03-12,alexja
Stuart Little,1999.0,0.4444444444444444,2024-03-12,alexja
Cast Away,2000.0,0.4444444444444444,2024-03-12,alexja
Sleepy Hollow,1999.0,0.4444444444444444,2024-03-12,alexja
Hellboy,2004.0,0.5555555555555556,2024-03-12,alexja
The Sixth Sense,1999.0,0.5555555555555556,2024-03-12,alexja
The Vow,2012.0,0.2222222222222222,2024-03-12,alexja
Ted,2012.0,0.3333333333333333,2024-03-12,alexja
Avatar: The Way of Water,2022.0,0.5555555555555556,2024-03-12,alexja
The Impossible,2012.0,0.4444444444444444,2024-03-12,alexja
The Perks of Being a Wallflower,2012.0,0.4444444444444444,2024-03-12,alexja
Maleficent,2014.0,0.4444444444444444,2024-03-12,alexja
"Love, Rosie",2014.0,0.3333333333333333,2024-03-12,alexja
Society of the Snow,2023.0,0.5555555555555556,2024-03-12,alexja
Barbarian,2022.0,0.5555555555555556,2024-03-12,alexja
Scary Movie,2000.0,0.1111111111111111,2024-03-12,alexja
Ring,1998.0,0.3333333333333333,2024-03-12,alexja
Requiem for a Dream,2000.0,0.5555555555555556,2024-03-12,alexja
Gladiator,2000.0,0.5555555555555556,2024-03-12,alexja
Wreck-It Ralph,2012.0,0.4444444444444444,2024-03-12,alexja
Captain America: The Winter Soldier,2014.0,0.3333333333333333,2024-03-12,alexja
Ruby Sparks,2012.0,0.1111111111111111,2024-03-12,alexja
The Lords of Salem,2012.0,0.3333333333333333,2024-03-12,alexja
Snowpiercer,2013.0,0.4444444444444444,2024-03-12,alexja
RED 2,2013.0,0.3333333333333333,2024-03-12,alexja
The Spectacular Now,2013.0,0.5555555555555556,2024-03-12,alexja
Black Panther,2018.0,0.5555555555555556,2024-03-12,alexja
Ready Player One,2018.0,0.4444444444444444,2024-03-12,alexja
Bohemian Rhapsody,2018.0,0.5555555555555556,2024-03-12,alexja
Coyote Ugly,2000.0,0.5555555555555556,2024-03-12,alexja
"Crouching Tiger, Hidden Dragon",2000.0,0.5555555555555556,2024-03-12,alexja
Thor: The Dark World,2013.0,0.3333333333333333,2024-03-12,alexja
Sinister,2012.0,0.3333333333333333,2024-03-12,alexja
You're Next,2011.0,0.3333333333333333,2024-03-12,alexja
The Raid,2011.0,0.5555555555555556,2024-03-12,alexja
The Hunger Games: Catching Fire,2013.0,0.4444444444444444,2024-03-12,alexja
The Amazing Spider-Man 2,2014.0,0.4444444444444444,2024-03-12,alexja
X-Men: Days of Future Past,2014.0,0.4444444444444444,2024-03-12,alexja
The Angry Birds Movie,2016.0,0.4444444444444444,2024-03-12,alexja
The Call,2013.0,0.5555555555555556,2024-03-12,alexja
Begin Again,2013.0,0.4444444444444444,2024-03-12,alexja
Cry Macho,2021.0,0.4444444444444444,2024-03-12,alexja
Incantation,2022.0,0.4444444444444444,2024-03-12,alexja
Winnie the Pooh: Blood and Honey,2023.0,0.3333333333333333,2024-03-12,alexja
The Son's Room,2001.0,0.4444444444444444,2024-03-12,alexja
Moulin Rouge!,2001.0,0.4444444444444444,2024-03-12,alexja
Pearl Harbor,2001.0,0.5555555555555556,2024-03-12,alexja
Silenced,2011.0,0.4444444444444444,2024-03-12,alexja
Always,2011.0,0.4444444444444444,2024-03-12,alexja
Insidious: Chapter 2,2013.0,0.5555555555555556,2024-03-12,alexja
Bunohan: Return to Murder,2011.0,0.1111111111111111,2024-03-12,alexja
The Hunt,2012.0,0.5555555555555556,2024-03-12,alexja
The Broken Circle Breakdown,2012.0,0.5555555555555556,2024-03-12,alexja
Inside Out,2015.0,0.3333333333333333,2024-03-12,alexja
The Final Girls,2015.0,0.3333333333333333,2024-03-12,alexja
Stutz,2022.0,0.4444444444444444,2024-03-12,alexja
Dream Scenario,2023.0,0.4444444444444444,2024-03-12,alexja
All of Us Strangers,2023.0,0.5555555555555556,2024-03-12,alexja
Championext,2023.0,0.4444444444444444,2024-03-12,alexja
Peppermint Candy,1999.0,0.4444444444444444,2024-03-12,alexja
Audition,1999.0,0.4444444444444444,2024-03-12,alexja
Spy Kids,2001.0,0.5555555555555556,2024-03-12,alexja
The Princess Diaries,2001.0,0.4444444444444444,2024-03-12,alexja
The Fast and the Furious,2001.0,0.4444444444444444,2024-03-12,alexja
The Isle,2000.0,0.3333333333333333,2024-03-12,alexja
Road to Perdition,2002.0,0.5555555555555556,2024-03-12,alexja
The Others,2001.0,0.5555555555555556,2024-03-12,alexja
Harry Potter and the Philosopher's Stone,2001.0,0.4444444444444444,2024-03-12,alexja
The Pianist,2002.0,0.6666666666666666,2024-03-12,alexja
Donnie Darko,2001.0,0.7777777777777778,2024-03-12,alexja
Avengers: Age of Ultron,2015.0,0.4444444444444444,2024-03-12,alexja
The Grand Budapest Hotel,2014.0,0.4444444444444444,2024-03-12,alexja
Muppets Most Wanted,2014.0,0.4444444444444444,2024-03-12,alexja
Oculus,2013.0,0.4444444444444444,2024-03-12,alexja
Birdman or (The Unexpected Virtue of Ignorance),2014.0,0.3333333333333333,2024-03-12,alexja
The Invitation,2015.0,0.3333333333333333,2024-03-12,alexja
Finding Nemo,2003.0,0.5555555555555556,2024-03-12,alexja
Jimmy Neutron: Boy Genius,2001.0,0.4444444444444444,2024-03-12,alexja
Session 9,2001.0,0.4444444444444444,2024-03-12,alexja
A Walk to Remember,2002.0,0.3333333333333333,2024-03-12,alexja
Jeepers Creepers,2001.0,0.5555555555555556,2024-03-12,alexja
Hulk,2003.0,0.1111111111111111,2024-03-12,alexja
Ghost Rider,2007.0,0.2222222222222222,2024-03-12,alexja
Ice Age,2002.0,0.5555555555555556,2024-03-12,alexja
The Garden of Words,2013.0,0.3333333333333333,2024-03-12,alexja
Sharknado,2013.0,0.3333333333333333,2024-03-12,alexja
Kingsman: The Secret Service,2014.0,0.5555555555555556,2024-03-12,alexja
The Fault in Our Stars,2014.0,0.0,2024-03-12,alexja
Nightcrawler,2014.0,0.5555555555555556,2024-03-12,alexja
Me Before You,2016.0,0.5555555555555556,2024-03-12,alexja
Annihilation,2018.0,0.4444444444444444,2024-03-12,alexja
Bird Box,2018.0,0.4444444444444444,2024-03-12,alexja
Jojo Rabbit,2019.0,0.5555555555555556,2024-03-12,alexja
Buzz Lightyear of Star Command - The Emperor's New Throne,2000.0,0.3333333333333333,2024-03-12,alexja
X2,2003.0,0.4444444444444444,2024-03-12,alexja
Man-Thing,2005.0,0.3333333333333333,2024-03-12,alexja
May,2002.0,0.5555555555555556,2024-03-12,alexja
Shark Tale,2004.0,0.4444444444444444,2024-03-12,alexja
Daredevil,2003.0,0.2222222222222222,2024-03-12,alexja
The League of Extraordinary Gentlemen,2003.0,0.3333333333333333,2024-03-12,alexja
Sympathy for Mr. Vengeance,2002.0,0.4444444444444444,2024-03-12,alexja
The Dreamers,2003.0,0.5555555555555556,2024-03-12,alexja
Gone with the Wind,1939.0,0.5555555555555556,2024-03-12,alexja
Harry Potter and the Chamber of Secrets,2002.0,0.4444444444444444,2024-03-12,alexja
28 Days Later,2002.0,0.4444444444444444,2024-03-12,alexja
Ilo Ilo,2013.0,0.4444444444444444,2024-03-12,alexja
Lucy,2014.0,0.2222222222222222,2024-03-12,alexja
Mortal Kombat,2021.0,0.4444444444444444,2024-03-12,alexja
Dungeons & Dragons: Honor Among Thieves,2023.0,0.5555555555555556,2024-03-12,alexja
Soul,2020.0,0.1111111111111111,2024-03-12,alexja
Badland Hunters,2024.0,0.4444444444444444,2024-03-12,alexja
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,0.5555555555555556,2024-03-12,alexja
My Life Without Me,2003.0,0.4444444444444444,2024-03-12,alexja
Lovers' Concerto,2002.0,0.4444444444444444,2024-03-12,alexja
Oasis,2002.0,0.3333333333333333,2024-03-12,alexja
The Incredibles,2004.0,0.5555555555555556,2024-03-12,alexja
The Texas Chainsaw Massacre,2003.0,0.4444444444444444,2024-03-12,alexja
Cars,2006.0,0.4444444444444444,2024-03-12,alexja
City of God,2002.0,0.5555555555555556,2024-03-12,alexja
Big Fish,2003.0,0.7777777777777778,2024-03-12,alexja
Spider-Man 2,2004.0,0.5555555555555556,2024-03-12,alexja
Catwoman,2004.0,0.1111111111111111,2024-03-12,alexja
Room,2015.0,0.4444444444444444,2024-03-12,alexja
Insidious: Chapter 3,2015.0,0.4444444444444444,2024-03-12,alexja
Before I Wake,2016.0,0.4444444444444444,2024-03-12,alexja
Little Women,2019.0,0.5555555555555556,2024-03-12,alexja
The Blackcoat's Daughter,2015.0,0.4444444444444444,2024-03-12,alexja
Cruella,2021.0,0.4444444444444444,2024-03-12,alexja
The Autopsy of Jane Doe,2016.0,0.5555555555555556,2024-03-12,alexja
Eternal Sunshine of the Spotless Mind,2004.0,0.3333333333333333,2024-03-12,alexja
Citizen Kane,1941.0,0.5555555555555556,2024-03-12,alexja
The Classic,2003.0,0.3333333333333333,2024-03-12,alexja
Spy Kids 3-D: Game Over,2003.0,0.4444444444444444,2024-03-12,alexja
The SpongeBob SquarePants Movie,2004.0,0.4444444444444444,2024-03-12,alexja
The Notebook,2004.0,0.2222222222222222,2024-03-12,alexja
Infernal Affairs,2002.0,0.4444444444444444,2024-03-12,alexja
The Punisher,2004.0,0.3333333333333333,2024-03-12,alexja
Something's Gotta Give,2003.0,0.2222222222222222,2024-03-12,alexja
Howl's Moving Castle,2004.0,0.3333333333333333,2024-03-12,alexja
School of Rock,2003.0,0.5555555555555556,2024-03-12,alexja
Troy,2004.0,0.4444444444444444,2024-03-12,alexja
Casablanca,1942.0,0.2222222222222222,2024-03-12,alexja
