title_normalized,title_original,tmdb_id,year,director,tmdb_genres,overview,country,nanogenres,themes,lb_url
portrait of a lady on fire,Portrait of a Lady on Fire,531428,2019,Céline Sciamma,Drama|Romance,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",FR,"Relationships, Passionate, Lover|Emotion, Passionate, Affair|Chemistry, Lover, Gorgeous|Tear-Jerker, Journey, Happiness|Emotional, Marriage, Reality|Emotional, Complex, Storytelling|Feelings, Passionate, Gorgeous|Cry, Family, Moving|Relationships, Lovely, Beauty|Charm, Captivating, Sophisticated",woman|love|story|film|life,https://boxd.it/jkPq
if i were a rich man,If I Were a Rich Man,630709,2019,Álvaro Fernández Armero,Comedy,"A man which wife is filing to divorce him wins 25 million EUR in the lotto, hiding her to prevent sharing the half of the prize.",FR,,murder|man|case|killer|detective,https://boxd.it/nn3s
solaris,Solaris,593,1972,Andrei Tarkovsky,Drama|Science Fiction|Mystery,A psychologist is sent to a space station orbiting a planet called Solaris to investigate the death of a doctor and the mental problems of cosmonauts on the station. He soon discovers that the water on the planet is a type of brain which brings out repressed memories and obsessions.,SU,"Spaceship, Technology, Future|Poignant, Complex, Storytelling|Aliens, Orbit, Scientific|Aliens, Technological, Vision|Sci-Fi, Philosophical, Thought-Provoking|Spaceship, Discover, Humans|Scientific, Thought-Provoking, Philosophy|Death, Space, Technology|Powerful, Storytelling, Vision|Planet, Technology, Ships",doctor|time|life|man|future,https://boxd.it/2a2Y
tenet,Tenet,577922,2020,Christopher Nolan,Action|Thriller|Science Fiction,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",GB,,earth|planet|world|space|new,https://boxd.it/leq4
good time,Good Time,429200,2017,Benny Safdie|Josh Safdie,Crime|Thriller|Drama,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",US,"Thriller, Victim, Brutal|Criminal, Car, Raw|Crime, Twist, Thief|Robbery, Gripping, Taut|Thriller, Slick, Implausible|Predictable, Slick, Sexy|Thrills, Guessing, Intriguing|Criminal, Bank, Realism|Criminal, Twist, Convoluted|Crime, Dangerous, Jail",driver|life|prison|brother|car,https://boxd.it/fcFu
spider-man: far from home,Spider-Man: Far From Home,429617,2019,Jon Watts,Action|Adventure|Science Fiction,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",US,"Stunts, One-Liners, Formulaic|Action, Evil, Goofy|Witty, Silly, Cool|Fighting, One-Liners, Mindless|Humorous, Action, Silly|Comic-Book, Hero, Exciting|Evil, Imaginative, Magic|Humor, Action, Predictable|Funny, Evil, Mindless|Predictable, Explosives, Villain",earth|planet|world|space|new,https://boxd.it/fegG
murder mystery,Murder Mystery,514999,2019,Kyle Newacheck,Comedy|Mystery,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",US,"Funny, Bumbling, Unexpected|Comedy, Romance, Pleasant|Suspense, Solving, Complicated|Jokes, Crazy, Comical|Comedy, Solving, Crazy|Gag, Car, Trip|Comedy, Car, Dude|Gag, Predictable, Bumbling|Gag, Charming, Genius|Gag, Delight, Screwball",murder|man|case|killer|detective,https://boxd.it/iEBm
avatar: the way of water,Avatar: The Way of Water,76600,2022,James Cameron,Action|Adventure|Science Fiction,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",US,"Emotional, Child, Wild|Tear-Jerker, Humans, Environment|Tear-Jerker, Magic, Captivating|Excitement, Engaging, Danger|Cry, Family, Environment|Heartfelt, Breathtaking, Beauty|Heartfelt, Tragic, Humanity|Action, Epic, Emotion|Action, Creature, Graphics|Explosives, Exciting, Cringe",woman|love|story|film|life,https://boxd.it/2E2E
triangle of sadness,Triangle of Sadness,497828,2022,Ruben Östlund,Comedy|Drama,"A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy.",DK,"Humor, Eating, Mocking|Bizarre, Symbolism, Thought-Provoking|Killing, Shock, Bizarre|Hilarious, Bizarre, Quirky|Jokes, Bizarre, Intelligent|Gag, Weird, Satire|Drama, Intellectual, Thought-Provoking|Emotional, Passion, Beauty|Drama, England, Subtlety|Funny, Crazy, Girlfriend",friends|love|couple|woman|young,https://boxd.it/hXlq
get out,Get Out,419430,2017,Jordan Peele,Mystery|Thriller|Horror,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",US,"Scary, Thriller, Revelation|Scary, Tense, Cliche|Blood, Silly, Cult|Tense, Mystery, Psychological|Gory, Thrills, Haunted|Spooky, Guessing, Horrific|Spooky, Thrills, Psychological|Frighten, Twist, Climax|Frighten, Thriller, Ghosts|Eerie, Thrills, Silly",love|life|relationship|new|family,https://boxd.it/eOCm
the batman,The Batman,414906,2022,Matt Reeves,Crime|Mystery|Thriller,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",US,"Comic-Book, Hero, Exciting|Fighting, Bullets, Exciting|Villain, Bullets, Criminal|Tense, Mysterious, Solving|Villain, Comic-Book, Campy|Hero, Evil, Complex|Villain, Stunts, Vengeance|Twist, Mysterious, Confusing|Jokes, Guns, Cool|Explosives, Cliche, Excitement",agent|bond|fbi|mission|james,https://boxd.it/eDGs
us,Us,458723,2019,Jordan Peele,Horror|Mystery,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",US,"Scary, Thriller, Revelation|Spooky, Mystery, Horrific|Scary, Dark, Mysterious|Eerie, Bloody, Horrifying|Scary, Disturbing, Sinister|Scary, Bloody, Attacks|Creepy, Spirits, Spirit|Comedy, Inventive, Unexpected|Eerie, Thrills, Silly|Eerie, Mystery, Fear",school|high|year|old|girl,https://boxd.it/gnV6
sorry to bother you,Sorry to Bother You,424781,2018,Boots Riley,Fantasy|Science Fiction|Comedy,"In an alternate present-day version of Oakland, black telemarketer Cassius Green discovers a magical key to professional success – which propels him into a macabre universe.",US,"Amusing, Bizarre, Satire|Jokes, Quirky, Co-Worker|Amusing, Parody, Genius|Society, Intellectual, Daring|Comedian, Silly, Genius|Bizarre, Symbolism, Thought-Provoking|Jokes, Surreal, Inventive|Funny, Genius, Intelligent|Humorous, Wit, Mindless|Hilarious, Weird, Madness",agent|bond|fbi|mission|james,https://boxd.it/f21E
knives out,Knives Out,546554,2019,Rian Johnson,Comedy|Crime|Mystery,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",US,"Crime, Twist, Mysterious|Killer, Crime, Suspects|Murderer, Mysterious, Guessing|Humorous, Wit, Formulaic|Delightful, Intelligent, Complicated|Suspense, Detective, Evidence|Victim, Investigate, Mysterious|Detectives, Murder, Solving|Relationships, Mystery, Revelation|Relationships, Detective, Mysterious",murder|man|case|killer|detective,https://boxd.it/jWEA
the mule,The Mule,504172,2018,Clint Eastwood,Crime|Drama,"Earl Stone, a man in his eighties, is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he's just signed on as a drug courier for a Mexican cartel. He does so well that his cargo increases exponentially, and Earl hit the radar of hard-charging DEA agent Colin Bates.",CA,"Addiction, Moral, Society|Investigate, Criminal, Partner|Gangster, Violence, Drama|Thrills, Cops, Gripping|Amusing, Families, Sweet|Cops, Shootings, Gritty|Cool, Danger, Dangerous|Addiction, Friendship, 1990s|Gangster, Unpredictable, Dangerous|Stereotype, Lesson, Moral",murder|man|case|killer|detective,https://boxd.it/idcY
game night,Game Night,445571,2018,John Francis Daley|Jonathan Goldstein,Mystery|Comedy|Crime,"Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to learn that neither the game nor Brooks are what they seem to be. The friends soon find themselves in over their heads as each twist leads to another unexpected turn over the course of one chaotic night.",US,"Comedy, Romance, Pleasant|Humor, Unexpected, Ensemble|Gag, Car, Trip|Chuckles, Wit, Silly|Funny, Crazy, Dim-Witted|Funny, Unexpected, Non-Stop|Hilarious, Cliche, Light-Hearted|Humor, Outrageous, Intelligent|Witty, Cliche, Formulaic|Jokes, Embarrassing, Unexpected",school|high|year|old|girl,https://boxd.it/fRtu
creep,Creep,250574,2014,Patrick Brice,Horror|Thriller,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.",US,"Scary, Tense, Cliche|Humorous, Disturbed, Quirky|Gory, Thrills, Haunted|Spooky, Thrills, Psychological|Creepy, Twist, Screaming|Eerie, Bizarre, Creep|Scary, Murder, Psychotic|Scary, Disturbing, Sinister|Eerie, Teenager, Screaming|Thriller, Creepy, Shock",film|life|music|documentary|album,https://boxd.it/7l4c
the menu,The Menu,593643,2022,Mark Mylod,Comedy|Horror,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",US,"Twist, Psychopath, Madness|Humor, Eating, Mocking|Killing, Shock, Bizarre|Weird, Reality, Complicated|Terrifying, Extreme, Confused|Tense, Mystery, Psychological|Thrills, Guessing, Intriguing|Gory, Disturbing, Guessing|Guessing, Creepy, Shock|Eating, Friendship, Ensemble",friends|love|couple|woman|young,https://boxd.it/lScm
oldboy,Oldboy,670,2003,Park Chan-wook,Drama|Thriller|Mystery|Action,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",KR,"Gruesome, Revenge, Extreme|Killing, Vengeance, Evil|Romance, Sympathy, Desire|Hero, Evil, Complex|Gory, Fighting, Extreme|Shock, Twisted, Madness|Brutal, Extreme, Thought-Provoking|Powerful, Disturbing, Anger|Emotional, Shock, Extreme|Predictable, Unpredictable, Revelation",murder|man|case|killer|detective,https://boxd.it/29R2
the lighthouse,The Lighthouse,503919,2019,Robert Eggers,Drama|Fantasy|Thriller,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,BR,"Spooky, Unsettling, Horrific|Weird, Disturbing, Intriguing|Supernatural, Weird, Imaginative|Eerie, Bizarre, Madness|Scary, Mysterious, Madness|Compelling, Bleak, Isolation|Twist, Ghosts, Mysterious|Spooky, Disturbing, Bizarre|Mystery, Confusing, Confusion|Shock, Madness, Bleak",family|mother|son|home|woman,https://boxd.it/icFU
sleep tight,Sleep Tight,77495,2011,Jaume Balagueró,Thriller|Horror,"César, an unhappy concierge, maintains a peculiar relationship with the very diverse inhabitants of the upper-class apartment building where he works in Barcelona.",ES,"Terrifying, Thriller, Creep|Tense, Mystery, Psychological|Graphic, Nightmares, Haunted|Terrifying, Disturbed, Troubled|Terror, Driving, Psychopath|Shock, Disgusting, Twisted|Bloody, Shock, Insanity|Scary, Thriller, Revelation|Tense, Blood, Guessing|Scary, Dark, Discover",france|young|french|life|spain,https://boxd.it/2GjC
black swan,Black Swan,44214,2010,Darren Aronofsky,Drama|Thriller|Horror,"The story of Nina, a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her retired ballerina mother Erica who zealously supports her daughter's professional ambition. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice.",US,"Dancing, Class, Sexy|Emotion, Sexual, Passionate|Terrifying, Haunted, Darkness|Unsettling, Horrific, Twisted|Shock, Psychological, Intriguing|Powerful, Complex, Reality|Disturbing, Erotic, Psychopath|Shock, Dark, Twisted|Weird, Symbolism, Twisted|Terrifying, Gripping, Disturbed",love|life|relationship|new|family,https://boxd.it/Sw0
ready or not,Ready or Not,567609,2019,Tyler Gillett|Matt Bettinelli-Olpin,Horror|Comedy,A young bride's wedding night turns into her worst nightmare when her ridiculously rich in-laws force her to play a gruesome game of hide-and-seek.,US,"Gruesome, Gross, Death|Scary, Disturbing, Sinister|Gory, Bizarre, Silly|Chuckles, Gruesome, Murder|Creepy, Massacre, Demented|Terrifying, Bloody, Cliche|Bloody, Victim, Screaming|Blood, Silly, Cult|Graphic, Killer, Guts|Killing, Shock, Bizarre",woman|love|story|film|life,https://boxd.it/kOf0
puss in boots: the last wish,Puss in Boots: The Last Wish,315162,2022,Joel Crawford,Animation|Adventure|Fantasy|Comedy|Family,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",US,"Animation, Jokes, Cute|Animation, Villain, Colorful|Witty, Silly, Cartoon|Cartoon, Magic, Colorful|Gag, Cartoon, Cool|Animation, Songs, Child|Voices, Catchy, Adorable|Animation, Adorable, Animals|Animation, Adventure, Quest|Animation, Catchy, Childhood",cat|monster|high|new|pirate,https://boxd.it/aaie
aftersun,Aftersun,965150,2022,Charlotte Wells,Drama,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories fill the gaps between camcorder footages as she tries to reconcile the father she knew with the troubled man she didn't.,GB,"Emotion, Suicide, Depressed|Relationships, Adorable, Smile|Emotional, Families, Dramas|Relationships, Cry, Moving|Tear-Jerker, Family, Pressure|Feelings, Adorable, Families|Relationships, Child, Journey|Tear-Jerker, Sensitive, Thoughtful|Emotion, Troubled, Overcome|Emotional, Subtlety, Authentic",old|mother|year|family|girl,https://boxd.it/Arw0
prison 77,Prison 77,913991,2022,Alberto Rodríguez,Drama,"Modelo Prison. Barcelona, 1977. A young accountant, awaiting trial for embezzlement with a possible 20 years sentence, joins a group of prisoners demanding amnesty.",ES,,driver|life|prison|brother|car,https://boxd.it/yq4U
infinity pool,Infinity Pool,667216,2023,Brandon Cronenberg,Horror|Science Fiction|Thriller,"While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.",CA,"Weird, Disturbing, Intriguing|Bizarre, Extreme, Cringe|Unsettling, Disturbed, Horrific|Shock, Twisted, Madness|Terrifying, Extreme, Confused|Weird, Madness, Chaos|Spooky, Guessing, Horrific|Chilling, Blood, Brutal|Tense, Mystery, Psychological|Creepy, Demon, Evil",doctor|time|life|man|future,https://boxd.it/oPSK
venus,Venus,931954,2022,Jaume Balagueró,Drama|Horror|Thriller,"Lucía, a club dancer on the run, takes refuge in a sinister building on the outskirts of Madrid where her sister Rocío lives with her daughter Alba.",ES,,love|life|relationship|new|family,https://boxd.it/z7ty
the northman,The Northman,639933,2022,Robert Eggers,Action|Adventure|Fantasy,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",US,"Fighting, Blood, Brutal|Gory, Fighting, Extreme|Fighting, Epic, Excitement|Swords, Mythology, Fantasy|Voices, Battle, Action-Packed|Bloody, Action-Packed, Avenge|Villain, Bloody, Battle|Death, Forest, Trip|Feelings, Complex, Captivating|Combat, Swords, Weapons",king|dragon|world|war|prince,https://boxd.it/nK2s
mother!,mother!,381283,2017,Darren Aronofsky,Horror|Drama,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",US,"Drama, Disturbed, Confusion|Creepy, Death, Screaming|Powerful, Unsettling, Fear|Reality, Dream, Symbolism|Scary, Thriller, Revelation|Death, Intriguing, Confused|Surreal, Vision, Daring|Terror, Disturbing, Fear|Feelings, Powerful, Storytelling|Gory, Disturbing, Guessing",friends|love|couple|woman|young,https://boxd.it/dgRU
the autopsy of jane doe,The Autopsy of Jane Doe,397243,2016,André Øvredal,Horror|Mystery,"Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.",GB,"Scary, Tense, Cliche|Eerie, Disturbing, Fear|Spooky, Shock, Cliche|Spooky, Victim, Horrifying|Chilling, Grisly, Darkness|Frighten, Freaked, Creep|Chilling, Murder, Graphic|Terrifying, Grisly, Discover|Terrifying, Mystery, Sinister|Spooky, Mystery, Unnerving",group|killer|town|school|young,https://boxd.it/dUu2
scream vi,Scream VI,934433,2023,Tyler Gillett|Matt Bettinelli-Olpin,Horror|Thriller|Crime,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",US,"Blood, Shock, Psychopath|Killer, Terror, Guessing|Horror, Twist, Death|Thriller, Victim, Menacing|Victim, Bloody, Terrifying|Murder, Slasher, Psychotic|Horror, Murder, Nasty|Murderer, Bloody, Brutality|Scary, Murderer, Guessing|Thrills, Murderer, Blood",group|killer|town|school|young,https://boxd.it/zdfW
winnie the pooh: blood and honey,Winnie the Pooh: Blood and Honey,980078,2023,Rhys Frake-Waterfield,Horror,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",GB,"Killing, Giant, Silly|Murder, Slasher, Death|Gruesome, Gross, Death|Horror, Murder, Nasty|Bloody, Victim, Nudity|Terrifying, Killer, Flesh|Gory, Murder, Stalking|Terrifying, Bloody, Cliche|Gruesome, Disgusting, Guts|Bloody, Shock, Insanity",cat|monster|high|new|pirate,https://boxd.it/B1rg
kill bill: vol. 1,Kill Bill: Vol. 1,24,2003,Quentin Tarantino,Action|Crime,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",US,"Fighting, Cool, Killing|Killing, Vengeance, Evil|Martial Arts, Vengeance, Showdown|Gory, Fighting, Extreme|Stunts, Bullets, Sexy|Stunts, Kung-Fu, Villain|Martial-Arts, Combat, Cool|Kung-Fu, Swords, Showdown|Stunts, Action-Packed, Showdown|Gory, Battle, Mindless",murder|man|case|killer|detective,https://boxd.it/70w
nope,Nope,762504,2022,Jordan Peele,Horror|Science Fiction,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",US,"Space, Extra-Terrestrial, Humans|Earth, Technology, Future|Extra-Terrestrial, Creepy, Imaginative|Gory, Screaming, Dread|Scary, Vision, Creativity|Scary, Bloody, Guessing|Bizarre, Mystery, Chilling|Spooky, Creature, Attacking|Terrifying, Mystery, Climax|Creepy, Fear, Discover",cat|monster|high|new|pirate,https://boxd.it/sDCe
citizenfour,Citizenfour,293310,2014,Laura Poitras,Documentary,"In June 2013, Laura Poitras and reporter Glenn Greenwald flew to Hong Kong for the first of many meetings with Edward Snowden. She brought her camera with her.",DE,"Democracy, America, Corruption|America, Facts, Government|Politician, Thought-Provoking, Nation|Democracy, Facts, Freedom|Government, Secret, Protect|Intelligent, Reality, Thoughtful|Conspiracy, Political, Gripping|Documentary, Beliefs, Propaganda|Facts, Conspiracy, Evidence|Powerful, Moral, Pressure",agent|bond|fbi|mission|james,https://boxd.it/9eSe
evil dead rise,Evil Dead Rise,713704,2023,Lee Cronin,Horror|Thriller,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",NZ,"Eerie, Bloody, Horrifying|Creepy, Graphic, Screaming|Gruesome, Inventive, Slaughter|Eerie, Blood, Weird|Graphic, Cool, Nasty|Blood, Gross, Nasty|Terrifying, Bloody, Cliche|Gruesome, Gross, Death|Eerie, Disturbing, Fear|Terror, Ghosts, Demon",family|mother|son|home|woman,https://boxd.it/qIvo
beau is afraid,Beau Is Afraid,798286,2023,Ari Aster,Comedy|Adventure|Fantasy,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic odyssey back home.",US,"Weird, Dark, Crazy|Weird, Confusing, Confusion|Terrifying, Madness, Psychological|Frighten, Twisted, Demented|Emotional, Suffering, Struggles|Surreal, Dark, Clues|Imaginative, Vision, Surreal|Weird, Imaginative, Dream|Funny, Bizarre, Quirky|Eerie, Fear, Attacks",family|mother|son|home|woman,https://boxd.it/u2gE
